STNAME,CTYNAME,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
Alabama,Autauga County,0,55601,26995,28606
Alabama,Autauga County,1,3364,1728,1636
Alabama,Autauga County,2,3423,1779,1644
Alabama,Autauga County,3,3882,1977,1905
Alabama,Autauga County,4,3755,1913,1842
Alabama,Autauga County,5,3173,1629,1544
Alabama,Autauga County,6,3705,1830,1875
Alabama,Autauga County,7,3461,1659,1802
Alabama,Autauga County,8,3628,1767,1861
Alabama,Autauga County,9,3616,1717,1899
Alabama,Autauga County,10,3966,1912,2054
Alabama,Autauga County,11,3811,1845,1966
Alabama,Autauga County,12,3927,1956,1971
Alabama,Autauga County,13,3237,1496,1741
Alabama,Autauga County,14,2589,1228,1361
Alabama,Autauga County,15,2311,1019,1292
Alabama,Autauga County,16,1739,724,1015
Alabama,Autauga County,17,1143,487,656
Alabama,Autauga County,18,871,329,542
Alabama,Baldwin County,0,218022,105657,112365
Alabama,Baldwin County,1,11955,6135,5820
Alabama,Baldwin County,2,12802,6519,6283
Alabama,Baldwin County,3,13981,7049,6932
Alabama,Baldwin County,4,12932,6398,6534
Alabama,Baldwin County,5,11108,5632,5476
Alabama,Baldwin County,6,12471,6145,6326
Alabama,Baldwin County,7,12057,5941,6116
Alabama,Baldwin County,8,13156,6318,6838
Alabama,Baldwin County,9,12877,6261,6616
Alabama,Baldwin County,10,14461,7038,7423
Alabama,Baldwin County,11,14242,6817,7425
Alabama,Baldwin County,12,15744,7416,8328
Alabama,Baldwin County,13,15665,7307,8358
Alabama,Baldwin County,14,14267,6622,7645
Alabama,Baldwin County,15,12471,5974,6497
Alabama,Baldwin County,16,8465,3946,4519
Alabama,Baldwin County,17,5064,2384,2680
Alabama,Baldwin County,18,4304,1755,2549
Alabama,Barbour County,0,24881,13133,11748
Alabama,Barbour County,1,1284,656,628
Alabama,Barbour County,2,1448,717,731
Alabama,Barbour County,3,1509,775,734
Alabama,Barbour County,4,1451,759,692
Alabama,Barbour County,5,1472,871,601
Alabama,Barbour County,6,1796,1133,663
Alabama,Barbour County,7,1670,992,678
Alabama,Barbour County,8,1531,923,608
Alabama,Barbour County,9,1450,867,583
Alabama,Barbour County,10,1624,929,695
Alabama,Barbour County,11,1603,847,756
Alabama,Barbour County,12,1675,826,849
Alabama,Barbour County,13,1536,749,787
Alabama,Barbour County,14,1540,701,839
Alabama,Barbour County,15,1337,608,729
Alabama,Barbour County,16,907,401,506
Alabama,Barbour County,17,576,231,345
Alabama,Barbour County,18,472,148,324
Alabama,Bibb County,0,22400,11921,10479
Alabama,Bibb County,1,1285,656,629
Alabama,Bibb County,2,1171,610,561
Alabama,Bibb County,3,1326,711,615
Alabama,Bibb County,4,1270,683,587
Alabama,Bibb County,5,1303,767,536
Alabama,Bibb County,6,1726,994,732
Alabama,Bibb County,7,1601,960,641
Alabama,Bibb County,8,1512,912,600
Alabama,Bibb County,9,1440,796,644
Alabama,Bibb County,10,1598,886,712
Alabama,Bibb County,11,1581,847,734
Alabama,Bibb County,12,1534,801,733
Alabama,Bibb County,13,1363,671,692
Alabama,Bibb County,14,1182,576,606
Alabama,Bibb County,15,992,455,537
Alabama,Bibb County,16,731,323,408
Alabama,Bibb County,17,422,165,257
Alabama,Bibb County,18,363,108,255
Alabama,Blount County,0,57840,28500,29340
Alabama,Blount County,1,3460,1723,1737
Alabama,Blount County,2,3635,1838,1797
Alabama,Blount County,3,3902,1923,1979
Alabama,Blount County,4,3668,1882,1786
Alabama,Blount County,5,3178,1680,1498
Alabama,Blount County,6,3564,1791,1773
Alabama,Blount County,7,3370,1687,1683
Alabama,Blount County,8,3514,1775,1739
Alabama,Blount County,9,3553,1739,1814
Alabama,Blount County,10,3921,1969,1952
Alabama,Blount County,11,3897,1923,1974
Alabama,Blount County,12,3947,2034,1913
Alabama,Blount County,13,3683,1785,1898
Alabama,Blount County,14,3282,1564,1718
Alabama,Blount County,15,2961,1329,1632
Alabama,Blount County,16,1970,899,1071
Alabama,Blount County,17,1303,588,715
Alabama,Blount County,18,1032,371,661
Alabama,Bullock County,0,10138,5527,4611
Alabama,Bullock County,1,600,287,313
Alabama,Bullock County,2,598,303,295
Alabama,Bullock County,3,601,340,261
Alabama,Bullock County,4,529,268,261
Alabama,Bullock County,5,626,368,258
Alabama,Bullock County,6,769,486,283
Alabama,Bullock County,7,757,474,283
Alabama,Bullock County,8,689,419,270
Alabama,Bullock County,9,620,375,245
Alabama,Bullock County,10,654,406,248
Alabama,Bullock County,11,604,335,269
Alabama,Bullock County,12,752,393,359
Alabama,Bullock County,13,678,357,321
Alabama,Bullock County,14,541,264,277
Alabama,Bullock County,15,407,176,231
Alabama,Bullock County,16,296,123,173
Alabama,Bullock County,17,233,100,133
Alabama,Bullock County,18,184,53,131
Alabama,Butler County,0,19680,9165,10515
Alabama,Butler County,1,1119,564,555
Alabama,Butler County,2,1232,658,574
Alabama,Butler County,3,1288,695,593
Alabama,Butler County,4,1173,626,547
Alabama,Butler County,5,1090,554,536
Alabama,Butler County,6,1196,593,603
Alabama,Butler County,7,1083,453,630
Alabama,Butler County,8,1254,584,670
Alabama,Butler County,9,1136,491,645
